Name,Glottocode,Isocode,lat,lon
’Are’are,area1240,alu,-9.21,161.16
’Auhelawa,auhe1237,kud,-10.10,151.00
Adzera,adze1240,adz,-6.38,146.35
Äiwoo,ayiw1239,nfl,-10.28,166.33
Ajië,ajie1238,aji,-21.30,165.47
Akei,akei1237,tsr,-15.64,166.77
Akolet,akol1237,akt,-6.23,150.18
Ali,alii1241,(ykm),-3.13,142.47
Amara,amar1272,aie,-5.50,148.75
Andra,andr1245,anx,-1.94,147.00
Anejom̃,anei1239,aty,-20.19,169.83
Aniwa,aniw1237,fut,-19.25,169.60
Anuki,anuk1239,aui,-9.62,149.77
Anus,anus1237,auq,-2.26,139.50
Anutan,anut1237,aud,-11.61,169.85
Apalik,apal1255,apo,-6.29,149.96
Apma,apma1240,app,-15.86,168.19
Araki,arak1252,akr,-15.63,166.95
Are,aree1239,mwc,-9.67,150.00
Arhâ,arha1237,aqr,-21.29,165.27
Aria,tour1244,(mwh),-5.63,149.26
Aribwatsa,arib1241,laz,-6.72,146.99
Arifama-Miniafia,arif1239,aai,-9.16,149.25
Arosi,aros1241,aia,-10.24,161.43
Asuboa,asum1237,aua,-11.30,166.50
Atchin,atch1238,(upv),-15.94,167.34
Atui,geli1237,(let),-6.19,150.52
Aua,auaa1241,(wuv),-1.46,143.06
Aulua,aulu1238,aul,-16.36,167.70
Avasö,avas1237,(baa),-7.38,157.34
Avau,avau1237,avb,-6.22,150.49
Avava,katb1237,tmb,-16.27,167.48
Avok,avok1244,,-16.54,167.77
Axamb,axam1237,ahb,-16.48,167.71
Bā,(west2518),(wyy),-17.53,177.68
Babatana,baba1268,baa,-7.04,156.76
Baegu,baeg1237,bvd,-8.49,160.77
Baelelea,bael1237,bvc,-8.42,160.72
Baetora,baet1237,btr,-15.26,168.16
Baki,baki1244,bki,-16.71,168.17
Balawaia,bala1307,(snc),-9.94,147.61
Bali,unea1237,bbn,-4.87,149.10
Baluan,balu1257,blq,-2.56,147.29
Bam,biem1237,bmc,-3.60,144.82
Banam Bay,burm1263,vrt,-16.34,167.76
Banoni,bann1247,bcm,-6.29,155.19
Bariai,bari1286,bch,-5.48,148.63
Barim,karn1252,bbv,-5.76,147.90
Barok,baro1253,bjk,-3.48,152.19
Bartle Bay,(weda1241),(wed),-10.10,150.10
Bauan,fiji1243,fij,-17.97,178.62
Bauro,baur1252,bxa,-10.58,161.86
Bebeli,bebe1252,bek,-5.63,150.32
Belep,nyal1254,yly,-19.72,163.66
Bierebo,bier1244,bnk,-16.67,168.15
Bieria,bier1246,brj,-16.79,168.23
Big Nambas,bign1238,nmb,-16.13,167.20
Bilibil,bilb1241,brz,-5.27,145.76
Bilur,bilu1244,bxf,-4.40,152.33
Bing,awad1244,bcu,-5.60,146.36
Bipi,bipi1237,biq,-2.11,146.40
Birao,bira1254,brr,-9.74,160.52
Blablanga,blab1237,blp,-8.15,159.42
Boanaki,ghay1237,bmk,-10.01,149.84
Bohutu,buhu1237,bxh,-10.51,150.18
Bola,bola1250,bnp,-5.33,150.01
Bongo,bong1287,bpg,-2.28,139.58
Boumā,(east2446),,-16.83,-179.88
Bua,(east2446),,-16.88,178.83
Buca Bay,(east2446),,-16.65,179.84
Budibud,budi1249,btp,-9.30,153.69
Bugotu,bugh1239,bgt,-8.48,159.80
Bukawa,buga1250,buk,-6.68,147.32
Bulu,bulu1253,bjl,-5.06,150.10
Buma,tean1237,tkw,-11.68,166.87
Bunama,buna1276,bdd,-10.08,151.07
Bwaidoga,bwai1243,bwd,-9.51,150.30
Bwatoo,bwat1240,bwa,-21.16,164.82
Caaàc,caac1237,msq,-20.41,164.58
Cakaudrove,(east2446),,-16.63,179.42
Carolinian,caro1242,cal,15.21,145.77
Cèmuhî,cemu1238,cam,-20.85,165.13
Chuukese,chuu1238,chk,7.35,151.60
Daakaka,daka1243,bpa,-16.30,167.98
Dami,mari1428,dad,-5.35,145.59
Dangal,dang1263,(mcy),-6.93,146.38
Dawawa,dawa1242,dww,-10.17,150.00
Dehu,dehu1237,dhv,-20.89,167.23
Deuba,(west2518),(bwb),-18.25,177.89
Diodio,diod1237,ddi,-9.39,150.17
Dobu,dobu1241,dob,-9.63,150.83
Doga,doga1238,dgg,-9.62,149.65
Dori’o,dori1246,dor,-9.12,160.90
Dorig,weta1242,wwo,-14.37,167.55
Doura,tour1242,don,-9.08,147.00
Drehet,kheh1237,tlx,-2.07,146.75
Drubea,dumb1241,duf,-22.09,166.53
Duau,duau1237,dva,-10.06,151.24
E Futunan,east2447,fud,-14.28,-178.14
E Kara,east2453,leu,-2.84,151.18
E Uvean,wall1257,wls,-13.29,-176.21
Emae,emae1237,mmw,-17.05,168.40
Emira,emir1237,(emi),-1.64,149.98
Engdewo,nang1262,ngr,-10.82,165.88
Ere,eree1241,twp,-2.16,147.08
Fagani,faga1239,faf,-10.45,161.66
Fataleka,fata1245,far,-8.59,160.86
Fwâi,fwai1237,fwa,-20.69,164.90
Gabadi,abad1241,kbt,-9.03,146.87
Gae,gaee1238,(gri),-9.53,159.61
