ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Reference_Label,label,Movement_Gloss
1-2-3-1-22-1-1,boumaa,Au rabe.,Au	rabe.,s:1s	kick,I'm kicking.,,,,"Dixon1988[204, 231]","Dixon 1988:204, 231",a.,
1-2-3-1-22-1-2,boumaa,Au rabeta a polo.,Au	rabe-t-a	a	polo.,s:1s	kick-TR-O:3s	ART	ball,I'm kicking the ball.,,,,"Dixon1988[204, 231]","Dixon 1988:204, 231",b.,
1-2-3-1-22-2-1,boumaa,E gagi a dovu.,E	gagi	a	dovu.,s:3s	crush	ART	sugarcane,The sugarcane is being crushed.,,,,"Dixon1988[204, 231]","Dixon 1988:204, 231",a.,
1-2-3-1-22-2-2,boumaa,Au gagia a dovu.,Au	gagi-a	a	dovu.,s:1s	crush-O:3s	ART	sugarcane,I'm crushing the sugarcane.,,,,"Dixon1988[204, 231]","Dixon 1988:204, 231",b.,
1-2-3-1-22-3-1,boumaa,E loaloa a ʔolii yai.,E	loaloa	a	ʔolii	yai.,s:3s	be.black	ART	dog	this,This dog is black.,,,,"Dixon1988[204, 231]","Dixon 1988:204, 231",,
1-2-3-1-22-4-1,boumaa,E gagi a dovu.,E	gagi	a	dovu.,s:3s	crush	ART	sugarcane,The sugarcane is crushed.,,,,"Dixon1988[204, 231]","Dixon 1988:204, 231",,
1-2-3-3-35-5-1,balivitu,A vaga beini ti zaɣata.,A	vaga	beini	ti	zaɣata.,ARTICLE	canoe	that	PERFECTIVE:3	bad,That canoe is broken.,,,,,,a.,
1-2-3-3-35-5-2,balivitu,A rumaka beini a vaɣoru.,A	rumaka	beini	a	vaɣoru.,ARTICLE	house	that	ARTICLE	new,That house is new.,,,,,,b.,
2-7-2-None-202-1-1,poc,*a tinaña Rumaq,*a	tina-ña	Rumaq,ART	mother-P:3S	house,a/the big house,,,more literally: ‘a/the mother of house(s)’,,,,
2-7-2-None-202-2-1,lewo,narin sisi,nari-n	sisi,offspring-n	child,a little kid,,,more literally ‘the offspring of children’,,,a.,
2-7-2-None-202-2-2,lewo,anen laŋi,ane-n	laŋi,mother-n	wind,an immensely powerful hurricane,,,more literally ‘the mother of winds’,,,b.,
2-8-1-None-231-3-1,longgu,vugi ubuna perai,vugi	ubu-na	pera-i,banana	inside-P:3SG	basket-SG,The banana is inside the basket.,,,,,,,
2-8-2-None-232-4-1,taiof,E Maras to noŋos non komana matan.,E	Maras	to	noŋos	no-n	koma=na	matan.,ART	Maras	REAL	dwell	IMPF-P:3SG	inside=ART	ditch,Maras is in the ditch.,,,,,,,
2-8-2-None-232-5-1,longgu,e la vu komu,e	la	vu	komu,S:3SG	go	R	village,s/he went towards her/his (home) village,,,local noun,,,,
2-8-2-None-232-5-2,longgu,e la vu tana iola ŋaia,e	la	vu	ta-na	iola	ŋaia,S:3SG	go	R	PREP-P:3SG	canoe	D:3SG,s/he went to her/his (canoe),,,common noun,,,,
2-8-2-3-244-6-1,tabar,i pakina mi vanua,i	paki-na	mi	vanua,PREP	underneath-P:3SG	ART	house,under the house,,,more literally ‘at the house__e__s underneath’,,,a),
2-8-2-3-244-6-2,tabar,i pakigu,i	paki-gu,PREP	underneath-P:1SG,under me,,,,,,b),
2-8-2-3-245-7-1,lengo,i murie na vae,i	muri-e	na	vae,PREP	back-CSTR	ART	house,behind the house,,,more literally ‘at the house__e__s back’,,,,
2-8-2-3-245-7-2,lengo,i murigu,i	muri-gu,PREP	back-P:1SG,behind me,,,,,,,
2-8-2-3-245-8-1,poc,*i laloña Rumaq,*i	lalo-ña	Rumaq,PREP	inside-P:3SG	house,inside the house,,,more literally ‘at the house__e__s inside’,,,,
2-8-2-3-245-8-2,poc,*i gabʷariña Rumaq,*i	gabʷari-ña	Rumaq,PREP	underneath-P:3SG	house,underneath the house,,,"more literally ‘at the house__e__s underneath’, _gabʷari-_ ‘the area underneath a raised house’; vol. 1, p.51",,,,
2-8-2-3-245-8-3,poc,*i murigu,*i	muri-gu,PREP	back-P:1SG,behind me,,,,,,,
2-8-3-1-267-9-1,yabem,balosi gelob geyà loʔ,balosi	ge-lob	ge-yà	loʔ,dove	S:3SG-fly	S:3SG-go:3	mountain,The doves flew off to the mountain.,,,,,,,
2-8-3-1-267-10-1,yabem,kepi lom geyà.,ke-pi	lom	ge-yà.,S:3SG-go.up	men’s.house	S:3SG-go:3,He climbed up to the men’s house.,,,,,,,
2-8-3-1-267-11-1,yabem,yapwanɛʔ mɔ esep aòʔsùŋ,ya-pwanɛʔ	mɔ	e-sep	aò-ʔ-sùŋ,S:1SG-IRR:insert	taro	S:3SG-IRR:descend	mouth-P:1SG-hole,I’ll put the taro into my mouth.,,,,,,,
2-8-3-1-267-12-1,yabem,waŋ gene kesep gweʔ geyà,waŋ	ge-ne	ke-sep	gweʔ	ge-yà,canoe	S:3SG-sink	S:3SG-descend	sea	S:3SG-go:3,The canoe sank into the sea.,,,,,,,
2-8-3-1-267-13-1,yabem,Hizi miri zio ki vahiaŋa ihaŋa.,Hizi	mi=ri	zio	ki	vahi-aŋa	ihaŋa.,they	IRR=HYP:3	go.down	SEQ:3	get-PL	fish,They will go and catch fish.,,,,,,,
2-8-3-2-267-14-1,sisiqa,ra kogisume kavia kuda,ra	ko-gisu=me	kavia	kuda,I	S:1SG:REAL-carry=hither	some	coconut,I have brought some coconuts.,,,,,,,
2-8-3-2-267-14-2,sisiqa,ɣōi mazola Susuka,ɣōi	ma-zo=la	Susuka,s/he	S:3SG:IRR-walk=thither	Susuka,S/he is going to Susuka village.,,,,,,,
2-8-3-2-268-15-1,manam,Ogi idoʔiraʔelaʔo.,Ogi	i-doʔ-i-raʔe-laʔo.,axe	S:3SG-take-O:3PL-upward-away,He took the axes away upward.,,,,,,,
2-8-3-2-268-16-1,samoan,Na oso i lalo le tama mai le solofanua …,Na	oso	i	lalo	le	tama	mai	le	solofanua	…,PAST	jump	PREP	down	ART	boy	PREP	ART	horse	…,The boy jumped down from the horse …,,,,,,,
